mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	5	5a	55/3	55/3	0.3333333333333333		7/12	7/12	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	59
5	5	5	5a	56/3	56/3	0.3333333333333333		2/3	2/3	4/4	1	1	1/12		1/8	2/3		3	69	A4	4	60
5	5	5	5a	19	19	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		6	66	F#4	4	61
5	5	5	5a	58/3	58/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	62
5	5	5	5a	59/3	59/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	63
6	6	6	6a	20	20	0.3333333333333333		0	0	4/4	2	1	1/12		1/8	2/3		0	36	C2	2	78
6	6	6	6a	20	20	1.0		0	0	4/4	2	2	1/4		1/4	1		0	36	C2	2	82
6	6	6	6a	61/3	61/3	0.3333333333333333		1/12	1/12	4/4	2	1	1/12		1/8	2/3		6	42	F#2	2	79
6	6	6	6a	62/3	62/3	0.3333333333333333		1/6	1/6	4/4	2	1	1/12		1/8	2/3		3	45	A2	2	80
6	6	6	6a	21	21	3.0		1/4	1/4	4/4	2	2	3/4		1/2	3/2		0	36	C2	2	83
6	6	6	6a	21	21	3.0		1/4	1/4	4/4	2	1	3/4		1/2	3/2		0	48	C3	3	81
6	6	6	6a	64/3	64/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	70
6	6	6	6a	65/3	65/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	71
6	6	6	6a	22	22	0.3333333333333333		1/2	1/2	4/4	1	1	1/12		1/8	2/3		6	66	F#4	4	72
6	6	6	6a	67/3	67/3	0.3333333333333333		7/12	7/12	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	73
6	6	6	6a	68/3	68/3	0.3333333333333333		2/3	2/3	4/4	1	1	1/12		1/8	2/3		3	69	A4	4	74
6	6	6	6a	23	23	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		6	66	F#4	4	75
6	6	6	6a	70/3	70/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	76
6	6	6	6a	71/3	71/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	77
7	7	7	7a	24	24	0.3333333333333333		0	0	4/4	2	1	1/12		1/8	2/3		-2	46	Bb2	2	91
7	7	7	7a	24	24	2.0		0	0	4/4	2	2	1/2		1/2	1		-2	46	Bb2	2	99
7	7	7	7a	73/3	73/3	0.3333333333333333		1/12	1/12	4/4	2	1	1/12		1/8	2/3		2	50	D3	3	92
7	7	7	7a	74/3	74/3	0.3333333333333333		1/6	1/6	4/4	2	1	1/12		1/8	2/3	1	1	55	G3	3	93
7	7	7	7a	25	25	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1	-1	1	55	G3	3	94
7	7	7	7a	25	25	0.3333333333333333		1/4	1/4	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	84
7	7	7	7a	76/3	76/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		3	69	A4	4	85
7	7	7	7a	77/3	77/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3	1	1	67	G4	4	86
7	7	7	7a	26	26	0.3333333333333333		1/2	1/2	4/4	2	1	1/12		1/8	2/3		3	45	A2	2	95
7	7	7	7a	26	26	2.0		1/2	1/2	4/4	2	2	1/2		1/2	1		3	45	A2	2	100
7	7	7	7a	26	26	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1	-1	1	67	G4	4	87
7	7	7	7a	79/3	79/3	0.3333333333333333		7/12	7/12	4/4	2	1	1/12		1/8	2/3		0	48	C3	3	96
7	7	7	7a	80/3	80/3	0.3333333333333333		2/3	2/3	4/4	2	1	1/12		1/8	2/3	1	-1	53	F3	3	97
7	7	7	7a	27	27	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1	-1	-1	53	F3	3	98
7	7	7	7a	27	27	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		0	60	C4	4	88
7	7	7	7a	82/3	82/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		1	67	G4	4	89
7	7	7	7a	83/3	83/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3	1	-1	65	F4	4	90
8	8	8	8a	28	28	0.3333333333333333		0	0	4/4	2	1	1/12		1/8	2/3		1	43	G2	2	109
8	8	8	8a	28	28	2.0		0	0	4/4	2	2	1/2		1/2	1		1	43	G2	2	117
8	8	8	8a	28	28	1.0		0	0	4/4	1	1	1/4		1/4	1	-1	-1	65	F4	4	101
8	8	8	8a	85/3	85/3	0.3333333333333333		1/12	1/12	4/4	2	1	1/12		1/8	2/3		-2	46	Bb2	2	110
8	8	8	8a	86/3	86/3	0.3333333333333333		1/6	1/6	4/4	2	1	1/12		1/8	2/3	1	-3	51	Eb3	3	111
8	8	8	8a	29	29	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1	-1	-3	51	Eb3	3	112
8	8	8	8a	29	29	0.3333333333333333		1/4	1/4	4/4	1	1	1/12		1/8	2/3		-2	58	Bb3	3	102
8	8	8	8a	88/3	88/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		-1	65	F4	4	103
8	8	8	8a	89/3	89/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3	1	-3	63	Eb4	4	104
8	8	8	8a	30	30	0.3333333333333333		1/2	1/2	4/4	2	1	1/12		1/8	2/3		8	44	G#2	2	113
8	8	8	8a	30	30	2.0		1/2	1/2	4/4	2	2	1/2		1/2	1		8	44	G#2	2	118
8	8	8	8a	30	30	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1	-1	-3	63	Eb4	4	105
8	8	8	8a	91/3	91/3	0.3333333333333333		7/12	7/12	4/4	2	1	1/12		1/8	2/3		5	47	B2	2	114
8	8	8	8a	92/3	92/3	0.3333333333333333		2/3	2/3	4/4	2	1	1/12		1/8	2/3	1	-1	53	F3	3	115
8	8	8	8a	31	31	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1	-1	-1	53	F3	3	116
8	8	8	8a	31	31	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		5	59	B3	3	106
8	8	8	8a	94/3	94/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		4	64	E4	4	107
8	8	8	8a	95/3	95/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	108
9	9	9	9a	32	32	0.3333333333333333		0	0	4/4	2	1	1/12		1/8	2/3		3	45	A2	2	127
9	9	9	9a	97/3	97/3	0.3333333333333333		1/12	1/12	4/4	2	1	1/12		1/8	2/3		7	49	C#3	3	128
9	9	9	9a	98/3	98/3	0.3333333333333333		1/6	1/6	4/4	2	1	1/12		1/8	2/3		4	52	E3	3	129
9	9	9	9a	33	33	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	130
9	9	9	9a	100/3	100/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		7	61	C#4	4	119
9	9	9	9a	101/3	101/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3		4	64	E4	4	120
9	9	9	9a	34	34	0.3333333333333333		1/2	1/2	4/4	1	1	1/12		1/8	2/3		3	69	A4	4	121
9	9	9	9a	103/3	103/3	0.3333333333333333		7/12	7/12	4/4	1	1	1/12		1/8	2/3		7	73	C#5	5	122
9	9	9	9a	104/3	104/3	0.3333333333333333		2/3	2/3	4/4	1	1	1/12		1/8	2/3		4	76	E5	5	123
9	9	9	9a	35	35	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		3	81	A5	5	124
9	9	9	9a	106/3	106/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		7	85	C#6	6	125
9	9	9	9a	107/3	107/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3		4	88	E6	6	126
10	10	10	10a	36	36	0.3333333333333333		0	0	4/4	1	1	1/12		1/8	2/3		9	87	D#6	6	131
10	10	10	10a	109/3	109/3	0.3333333333333333		1/12	1/12	4/4	1	1	1/12		1/8	2/3		4	88	E6	6	132
10	10	10	10a	110/3	110/3	0.3333333333333333		1/6	1/6	4/4	1	1	1/12		1/8	2/3		12	84	B#5	5	133
10	10	10	10a	37	37	0.3333333333333333		1/4	1/4	4/4	1	1	1/12		1/8	2/3		7	85	C#6	6	134
10	10	10	10a	112/3	112/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		8	80	G#5	5	135
