mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	10	10	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	20
5	5	11	11	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	25
5	5	11	11	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	21
5	5	12	12	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	22
5	5	25/2	25/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	23
6	6	13	13	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	30
6	6	13	13	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	26
6	6	14	14	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		1	79	G5	5	27
6	6	29/2	29/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	28
6	6	15	15	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52	E3	3	31
6	6	15	15	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	29
7	7	16	16	1.0	0	0	3/4	2	1	1/4	1/4	1		7	49	C#3	3	37
7	7	16	16	0.5	0	0	3/4	1	1	1/8	1/8	1		4	76	E5	5	32
7	7	33/2	33/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		7	73	C#5	5	33
7	7	17	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	45	A2	2	38
7	7	17	17	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	A4	4	34
7	7	35/2	35/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	35
7	7	18	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	39
7	7	18	18	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	36
8	8	19	19	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	45
8	8	19	19	0.3333333333333333	0	0	3/4	1	1	1/12	1/8	2/3		5	71	B4	4	40
8	8	58/3	58/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12	1/8	2/3		3	69	A4	4	41
8	8	59/3	59/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12	1/8	2/3		1	67	G4	4	42
8	8	20	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	46
8	8	20	20	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		6	66	F#4	4	43
8	8	21	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	45	A2	2	47
8	8	21	21	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	E4	4	44
9	9	22	22	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	49
9	9	22	22	2.0	0	0	3/4	1	1	1/2	1/2	1		2	62	D4	4	48
9	9	23	23	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	38	D2	2	50
10	10	24	24	0.5	0	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	51
10	10	49/2	49/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	52
11	11	25	25	1.0	0	0	3/4	2	1	1/4	1/4	1		4	52	E3	3	56
11	11	25	25	1.0	0	0	3/4	1	1	1/4	1/4	1		8	68	G#4	4	53
11	11	26	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	57
11	11	26	26	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77	F5	5	54
11	11	27	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	58
11	11	27	27	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76	E5	5	55
12	12	28	28	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	63
12	12	28	28	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	59
12	12	29	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	64
12	12	29	29	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	60
12	12	30	30	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		3	57	A3	3	65
12	12	30	30	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	61
12	12	61/2	61/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	66
12	12	61/2	61/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	62
13	13	31	31	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	70
13	13	31	31	1.0	0	0	3/4	1	1	1/4	1/4	1		6	66	F#4	4	67
13	13	32	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	71
13	13	32	32	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76	E5	5	68
13	13	33	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	72
13	13	33	33	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	69
14	14	34	34	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	77
14	14	34	34	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	73
14	14	35	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	78
