mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
14	12	23	12a	59	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	78
14	12	23	12a	59	35	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	74
14	12	23	12a	60	36	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76	E5	5	75
14	12	23	12a	121/2	73/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	76
15	13	24	13a	61	37	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	83
15	13	24	13a	61	37	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	79
15	13	24	13a	62	38	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	80
15	13	24	13a	125/2	77/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	81
15	13	24	13a	63	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	84
15	13	24	13a	63	39	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	82
16	14	25	14a	64	40	1.0	0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	90
16	14	25	14a	64	40	0.5	0	0	3/4	1	1	1/8	1/8	1		2	62	D4	4	85
16	14	25	14a	129/2	81/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	66	F#4	4	86
16	14	25	14a	65	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	50	D3	3	91
16	14	25	14a	65	41	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	A4	4	87
16	14	25	14a	131/2	83/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	88
16	14	25	14a	66	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	92
16	14	25	14a	66	42	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	89
17	15	26	15a	67	43	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	98
17	15	26	15a	67	43	0.3333333333333333	0	0	3/4	1	1	1/12	1/8	2/3		4	76	E5	5	93
17	15	26	15a	202/3	130/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12	1/8	2/3		0	72	C5	5	94
17	15	26	15a	203/3	131/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12	1/8	2/3		3	69	A4	4	95
17	15	26	15a	68	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	99
17	15	26	15a	68	44	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	96
17	15	26	15a	69	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	100
17	15	26	15a	69	45	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	97
18	16	27	16a	70	46	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	102
18	16	27	16a	70	46	2.0	0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	101
10	8	28	16a	72	24	0.5	0	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	51
10	8	28	16a	145/2	49/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	52
11	9	29	9b	73	25	1.0	0	0	3/4	2	1	1/4	1/4	1		4	52	E3	3	56
11	9	29	9b	73	25	1.0	0	0	3/4	1	1	1/4	1/4	1		8	68	G#4	4	53
11	9	29	9b	74	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	57
11	9	29	9b	74	26	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77	F5	5	54
11	9	29	9b	75	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	58
11	9	29	9b	75	27	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76	E5	5	55
12	10	30	10b	76	28	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	63
12	10	30	10b	76	28	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	59
12	10	30	10b	77	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	64
12	10	30	10b	77	29	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	60
12	10	30	10b	78	30	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		3	57	A3	3	65
12	10	30	10b	78	30	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	61
12	10	30	10b	157/2	61/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	66
12	10	30	10b	157/2	61/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	62
13	11	31	11b	79	31	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	70
13	11	31	11b	79	31	1.0	0	0	3/4	1	1	1/4	1/4	1		6	66	F#4	4	67
13	11	31	11b	80	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	71
13	11	31	11b	80	32	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76	E5	5	68
13	11	31	11b	81	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	72
13	11	31	11b	81	33	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	69
14	12	32	12b	82	34	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	77
14	12	32	12b	82	34	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	73
14	12	32	12b	83	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	78
14	12	32	12b	83	35	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	74
14	12	32	12b	84	36	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		4	76	E5	5	75
14	12	32	12b	169/2	73/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	76
15	13	33	13b	85	37	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	83
15	13	33	13b	85	37	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	79
15	13	33	13b	86	38	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	80
15	13	33	13b	173/2	77/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	81
15	13	33	13b	87	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	84
15	13	33	13b	87	39	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	82
16	14	34	14b	88	40	1.0	0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	90
16	14	34	14b	88	40	0.5	0	0	3/4	1	1	1/8	1/8	1		2	62	D4	4	85
16	14	34	14b	177/2	81/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	66	F#4	4	86
16	14	34	14b	89	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	50	D3	3	91
16	14	34	14b	89	41	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	A4	4	87
16	14	34	14b	179/2	83/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	88
16	14	34	14b	90	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	92
16	14	34	14b	90	42	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	89
17	15	35	15b	91	43	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	98
17	15	35	15b	91	43	0.3333333333333333	0	0	3/4	1	1	1/12	1/8	2/3		4	76	E5	5	93
17	15	35	15b	274/3	130/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12	1/8	2/3		0	72	C5	5	94
17	15	35	15b	275/3	131/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12	1/8	2/3		3	69	A4	4	95
17	15	35	15b	92	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	99
17	15	35	15b	92	44	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	96
17	15	35	15b	93	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	100
17	15	35	15b	93	45	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	97
18	16	36	16b	94	46	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	102
18	16	36	16b	94	46	2.0	0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	101
19	16	37	16b	96	48	0.5	0	1/2	3/4	2	1	1/8	1/8	1		0	48	C3	3	105
19	16	37	16b	96	48	0.5	0	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	103
19	16	37	16b	193/2	97/2	0.5	1/8	5/8	3/4	2	1	1/8	1/8	1		4	52	E3	3	106
19	16	37	16b	193/2	97/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	104
20	17	38	17a	97	49	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	114
20	17	38	17a	97	49	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	111
20	17	38	17a	97	49	1.0	0	0	3/4	1	1	1/4	1/4	1		4	64	E4	4	107
20	17	38	17a	98	50	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	115
20	17	38	17a	98	50	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	112
20	17	38	17a	98	50	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		4	64	E4	4	108
20	17	38	17a	99	51	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		5	47	B2	2	116
20	17	38	17a	99	51	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	113
