mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
12	12	44	44	0.0		0	0	Tempo	4/4	1	1	0								Adagio	72.0			1.0	
12	12	44	44	0.0		0	0	Tempo	4/4	1	1	0								𝅘𝅥=45	45.0	𝅘𝅥	45.0	0.0	
12	12	44	44	1.75		0	0	Chord	4/4	1	1	7/16		1/4	7/4	144									
12	12	183/4	183/4	0.125		7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	145									
12	12	367/8	367/8	0.0		15/32	15/32	Dynamic	4/4	1	1	0					mf								
12	12	367/8	367/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	146									
12	12	46	46	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	147									
12	12	93/2	93/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	148									
12	12	47	47	0.0		3/4	3/4	Dynamic	4/4	1	1	0					mp								
12	12	47	47	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	149									
12	12	95/2	95/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	150									
12	12	89/2	89/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	151									
12	12	45	45	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	152									
12	12	91/2	91/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	153									
12	12	93/2	93/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	154									
12	12	47	47	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	155									
12	12	95/2	95/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	156									
12	12	44	44	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	157									
12	12	46	46	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	158									
13	13	48	48	0.0		0	0	Dynamic	4/4	1	1	0					p								
13	13	48	48	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	159									
13	13	199/4	199/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	160		articStaccatissimoAbove							
13	13	50	50	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	161									8
13	13	101/2	101/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	162									
13	13	97/2	97/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	163									
13	13	49	49	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	164									
13	13	99/2	99/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	165									
13	13	101/2	101/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	166									
13	13	51	51	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	167									
13	13	103/2	103/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	168									
13	13	48	48	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	169									
13	13	50	50	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	170									
14	14	52	52	1.75		0	0	Chord	4/4	1	1	7/16		1/4	7/4	171									
14	14	215/4	215/4	0.0		7/16	7/16	Dynamic	4/4	1	1	0					mf								
14	14	215/4	215/4	0.125		7/16	7/16	Chord	4/4	1	1	1/32		1/32	1	172									
14	14	431/8	431/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32		1/32	1	173									
14	14	54	54	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	174									
14	14	109/2	109/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	175									
14	14	55	55	0.0		3/4	3/4	Dynamic	4/4	1	1	0					mp								
14	14	55	55	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	176									
14	14	111/2	111/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	177									
14	14	105/2	105/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	178									
14	14	53	53	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	179									
14	14	107/2	107/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	180									
14	14	109/2	109/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	181									
14	14	55	55	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	182									
14	14	111/2	111/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	183									
14	14	52	52	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	184									
14	14	54	54	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	185									
15	15	56	56	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	186									
15	15	231/4	231/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	187		articStaccatissimoAbove							
15	15	58	58	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	188									9
15	15	117/2	117/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	189									
15	15	113/2	113/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	190									
15	15	57	57	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	191									
15	15	115/2	115/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	192									
15	15	117/2	117/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	193									
15	15	59	59	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	194									
15	15	119/2	119/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	195									
15	15	56	56	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	196									
15	15	58	58	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	197									
16	16	60	60	0.0		0	0	Dynamic	4/4	1	1	0					f								
16	16	60	60	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	198									10
16	16	62	62	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	199									
16	16	61	61	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	200									11
16	16	62	62	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	201									
17	17	64	64	0.0		0	0	Dynamic	4/4	1	1	0					p								
17	17	64	64	0.75		0	0	Chord	4/4	1	1	3/16		1/8	3/2	202									12
17	17	259/4	259/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	203									12
17	17	65	65	0.3333333333333333		1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	204		articStaccatoAbove							12
17	17	196/3	196/3	0.0		1/3	1/3	Dynamic	4/4	1	1	0					mf								12
17	17	196/3	196/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	205		articStaccatoAbove							12
17	17	197/3	197/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	206		articStaccatoAbove							12
17	17	66	66	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	207									
17	17	271/4	271/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	208		articStaccatissimoAbove							
17	17	65	65	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	209									13
17	17	66	66	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	210									
17	17	271/4	271/4	0.25		15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	211									
18	18	68	68	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	212									14
18	18	137/2	137/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	213									
18	18	139/2	139/2	0.0		3/8	3/8	Dynamic	4/4	1	1	0					mp								
18	18	139/2	139/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	214									
18	18	141/2	141/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	215									
18	18	143/2	143/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	216									
18	18	68	68	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	217									
18	18	69	69	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	218									
18	18	70	70	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	219									
18	18	71	71	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	220									
19	19	145/2	145/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	221									
19	19	73	73	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	222									
19	19	147/2	147/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	223									
19	19	74	74	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	224									
19	19	72	72	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	225									
20	20	76	76	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	226									
20	20	153/2	153/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	227									
20	20	77	77	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	228									
20	20	155/2	155/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	229									
20	20	78	78	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	230									
20	20	157/2	157/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	231									
20	20	79	79	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	232									
20	20	159/2	159/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	233									
20	20	79	79	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	234									
20	20	76	76	0.0		0	0	Dynamic	4/4	2	1	0					f								
20	20	79	79	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	235									
21	21	80	80	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	236									
21	21	161/2	161/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	237									
21	21	81	81	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	238									
21	21	163/2	163/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	239									
21	21	82	82	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	240									15
21	21	165/2	165/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	241									
21	21	83	83	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	242									
21	21	167/2	167/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	243									
21	21	80	80	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	244									
21	21	81	81	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	245									
21	21	82	82	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	246									
21	21	83	83	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	247									
21	21	80	80	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	248									
21	21	81	81	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	249									
21	21	82	82	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	250									
21	21	83	83	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	251									
22	22	84	84	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	252									16
