mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
31	27	81	81	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	213							45
31	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	214							
32	28	82	82	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	215							46
32	28	83	83	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	216							
32	28	84	84	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	217							47
32	28	337/4	337/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	218							47
32	28	169/2	169/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	219							47
32	28	339/4	339/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	220							47
32	28	82	82	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	221							
32	28	84	84	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	222							48
32	28	337/4	337/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	223							48
32	28	169/2	169/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	224							48
32	28	339/4	339/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	225							48
32	28	82	82	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	226							49
32	28	83	83	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	227							
33	29	85	85	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	228							
33	29	86	86	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	229							
33	29	87	87	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	230							50
33	29	349/4	349/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	231							50
33	29	175/2	175/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	232							50
33	29	351/4	351/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	233							50
33	29	85	85	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	234							
33	29	87	87	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	235							51
33	29	349/4	349/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	236							51
33	29	175/2	175/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	237							51
33	29	351/4	351/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	238							51
34	30	88	88	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	239							
34	30	89	89	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	240							
34	30	90	90	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	241							52
34	30	361/4	361/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	242							52
34	30	181/2	181/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	243							52
34	30	363/4	363/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	244							52
34	30	88	88	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	245							
34	30	90	90	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	246							
35	31	91	91	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	247							52
35	31	92	92	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	248							
35	31	93	93	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	249							
35	31	91	91	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	250							53
35	31	92	92	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	251							
35	31	93	93	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	252							
36	32	94	94	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	253							54
36	32	95	95	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	254							
36	32	94	94	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	255							
